Date,RY_15y,15s-20s
10/11/2021,-2.408,8.162
10/08/2021,-2.432,8.698
10/07/2021,-2.492,9.746
10/06/2021,-2.489,10.915
10/05/2021,-2.508,10.932
10/04/2021,-2.519,9.767
10/01/2021,-2.464,8.657
09/30/2021,-2.423,9.146
09/29/2021,-2.439,8.700
09/28/2021,-2.487,9.707
09/27/2021,-2.588,9.115
09/24/2021,-2.539,7.188
09/23/2021,-2.564,7.327
09/22/2021,-2.645,9.074
09/21/2021,-2.622,7.066
09/20/2021,-2.621,6.365
09/17/2021,-2.572,5.426
09/16/2021,-2.622,6.295
09/15/2021,-2.708,8.229
09/14/2021,-2.666,7.142
09/13/2021,-2.672,6.680
09/10/2021,-2.651,5.851
09/09/2021,-2.642,5.104
09/08/2021,-2.660,6.030
09/07/2021,-2.636,6.244
09/06/2021,-2.641,7.018
09/03/2021,-2.603,6.884
09/02/2021,-2.633,6.414
09/01/2021,-2.619,6.409
08/31/2021,-2.621,6.100
08/27/2021,-2.694,5.229
08/26/2021,-2.682,5.011
08/25/2021,-2.674,5.454
08/24/2021,-2.715,5.106
08/23/2021,-2.690,4.679
08/20/2021,-2.685,5.685
08/19/2021,-2.678,5.892
08/18/2021,-2.667,6.466
08/17/2021,-2.663,6.455
08/16/2021,-2.654,6.647
08/13/2021,-2.661,6.569
08/12/2021,-2.648,6.423
08/11/2021,-2.675,6.739
08/10/2021,-2.706,6.827
08/09/2021,-2.701,5.560
08/06/2021,-2.660,5.474
08/05/2021,-2.716,6.122
08/04/2021,-2.702,6.695
08/03/2021,-2.689,6.582
08/02/2021,-2.641,6.202
07/30/2021,-2.662,6.883
07/29/2021,-2.660,6.521
07/28/2021,-2.635,6.765
07/27/2021,-2.637,6.392
07/26/2021,-2.664,6.680
07/23/2021,-2.645,6.074
07/22/2021,-2.607,6.102
07/21/2021,-2.547,5.284
07/20/2021,-2.585,5.767
07/19/2021,-2.588,6.533
07/16/2021,-2.534,6.801
07/15/2021,-2.491,6.312
07/14/2021,-2.508,7.615
07/13/2021,-2.492,7.249
07/12/2021,-2.451,6.503
07/09/2021,-2.451,6.250
07/08/2021,-2.509,6.245
07/07/2021,-2.511,6.923
07/06/2021,-2.479,7.865
07/05/2021,-2.394,7.832
07/02/2021,-2.393,7.920
07/01/2021,-2.368,7.375
06/30/2021,-2.380,7.092
06/29/2021,-2.379,6.713
06/28/2021,-2.387,6.371
06/25/2021,-2.350,5.894
06/24/2021,-2.374,5.882
06/23/2021,-2.363,6.187
06/22/2021,-2.314,5.724
06/21/2021,-2.329,4.427
06/18/2021,-2.333,3.545
06/17/2021,-2.316,3.902
06/16/2021,-2.374,5.470
06/15/2021,-2.380,5.588
06/14/2021,-2.382,5.179
06/11/2021,-2.378,5.103
06/10/2021,-2.342,5.792
06/09/2021,-2.356,6.711
06/08/2021,-2.315,5.959
06/07/2021,-2.315,5.989
06/04/2021,-2.316,6.797
06/03/2021,-2.299,6.154
06/02/2021,-2.309,5.667
06/01/2021,-2.281,6.752
05/28/2021,-2.354,7.436
05/27/2021,-2.322,8.088
05/26/2021,-2.368,8.830
05/25/2021,-2.335,8.845
05/24/2021,-2.314,9.251
05/21/2021,-2.318,10.146
05/20/2021,-2.282,9.557
05/19/2021,-2.280,9.496
05/18/2021,-2.272,8.765
05/17/2021,-2.265,8.071
05/14/2021,-2.246,7.649
05/13/2021,-2.208,6.911
05/12/2021,-2.225,8.264
05/11/2021,-2.252,9.087
05/10/2021,-2.333,9.713
05/07/2021,-2.346,9.629
05/06/2021,-2.350,9.950
05/05/2021,-2.317,8.723
05/04/2021,-2.318,8.110
04/30/2021,-2.270,7.458
04/29/2021,-2.256,7.794
04/28/2021,-2.273,8.365
04/27/2021,-2.296,8.355
04/26/2021,-2.305,7.132
04/23/2021,-2.312,7.968
04/22/2021,-2.325,7.427
04/21/2021,-2.319,7.753
04/20/2021,-2.309,6.785
04/19/2021,-2.327,6.283
04/16/2021,-2.303,7.381
04/15/2021,-2.320,7.911
04/14/2021,-2.270,7.716
04/13/2021,-2.274,8.251
04/12/2021,-2.269,7.700
04/09/2021,-2.270,8.493
04/08/2021,-2.303,9.418
04/07/2021,-2.302,9.625
04/06/2021,-2.311,9.175
04/01/2021,-2.345,9.635
03/31/2021,-2.299,9.716
03/30/2021,-2.263,9.464
